Ticker,ATH,52WeekHigh,Breakout,Today's High,T_open,CMP,SL,SL Points,SL-HIT,Volume,Entry,Exit,Profit
FAZE3Q.NS,545.0,573.05,545.0,573.0499877929688,477.5,563.4000244140625,538.55,6.4500000000000455,No,587892,545.0,563.4000244140625,18.4000244140625
NITINSPIN.NS,442.8500061035156,447.05,442.8500061035156,447.04998779296875,434.95001220703125,438.5,437.4215060424805,5.428500061035152,No,586331,442.8500061035156,438.5,-4.350006103515625
GOKEX.NS,1022.9500122070312,1042.1,1022.9500122070312,1042.0999755859375,979.0,982.0,1011.7205120849609,11.229500122070363,Yes,577186,1022.9500122070312,1011.7205120849609,-11.229500122070363
ARVSMART.NS,762.941313335264,790.0,762.941313335264,790.0,720.0,785.7000122070312,754.3119002019114,8.629413133352614,No,529589,762.941313335264,785.7000122070312,22.75869887176725
GRAVITA.NS,1742.0999755859375,1763.95,1742.0999755859375,1763.949951171875,1691.949951171875,1665.949951171875,1723.6789758300781,18.420999755859384,Yes,413626,1742.0999755859375,1723.6789758300781,-18.420999755859384
LIBERTSHOE.NS,456.25,493.65,456.25,493.6499938964844,460.0,472.95001220703125,455.25,4.75,No,374328,460.0,472.95001220703125,12.95001220703125
GODREJAGRO.NS,866.5158919883792,876.7,866.5158919883792,872.0,861.0,848.9500122070312,860.0,6.515891988379167,Yes,295583,866.5158919883792,860.0,-6.515891988379167
PANAMAPET.NS,441.0,444.25,441.0,444.25,433.0,425.04998779296875,435.59,5.410000000000025,Yes,265168,441.0,435.59,-5.410000000000025
BBOX.NS,430.0,435.35,430.0,435.3500061035156,421.0,435.3500061035156,424.7,5.300000000000011,No,263625,430.0,435.3500061035156,5.350006103515625
LEMERITE.NS,182.1999969482422,0.0,182.1999969482422,197.5,189.39999389648438,195.0,181.1999969482422,8.199996948242188,No,256000,189.39999389648438,195.0,5.600006103515625
VENUSPIPES.NS,2275.0,2296.0,2275.0,2296.0,2162.35009765625,2254.050048828125,2251.25,23.75,No,253314,2275.0,2254.050048828125,-20.949951171875
PRUDENT.NS,2156.0,2282.85,2156.0,2282.85009765625,2181.0,2255.25,2155.0,26.0,No,175075,2181.0,2255.25,74.25
INNOVACAP.NS,626.0999755859375,635.0,626.0999755859375,635.0,618.9500122070312,626.25,618.8389758300781,7.260999755859416,No,166979,626.0999755859375,626.25,0.1500244140625
TECHNOE.NS,1620.1500244140625,1680.0,1620.1500244140625,1680.0,1574.0,1661.699951171875,1602.948524169922,17.20150024414056,No,147409,1620.1500244140625,1661.699951171875,41.5499267578125
